kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,261,EEM,2025-04-08,39.07,709.28,2025-03-04,41.75,14.81,13.86,-1900.86,-1914.72,-6.47,25,rotation (out of top-N),2025-03-03,43.15,2.4,0.69,4.5,6.7,3.43,0.91,21,2025-04-07,40.56,2.9,-0.62,4.2,5.4,-3.11,2.98,56
SELL,262,EFA,2025-09-16,90.42,380.47,2025-03-04,77.83,14.81,17.2,4790.17,4772.97,16.12,135,rotation (out of top-N),2025-03-03,80.25,2.7,1.4,4.3,6.2,6.99,1.05,21,2025-09-15,89.92,0.8,2.14,1.5,4.7,10.72,0.34,217
SELL,263,XLE,2025-04-01,44.97,649.8,2025-03-11,42.21,13.71,14.61,1793.46,1778.85,6.49,15,rotation (out of top-N),2025-03-10,42.84,2.8,0.12,4.5,6.2,0.6,1.86,28,2025-03-31,37.88,1.3,-2.22,4.7,7.6,-11.1,1.08,49
SELL,264,XLI,2025-03-25,132.45,224.44,2025-03-18,129.9,14.58,14.86,572.33,557.46,1.91,5,rotation (out of top-N),2025-03-17,129.77,0.7,-0.03,2.0,5.3,-0.14,1.12,490,2025-03-24,128.1,0.7,-0.32,2.1,5.4,-1.59,1.13,497
SELL,265,DIA,2025-04-01,410.35,71.18,2025-03-18,409.57,14.58,14.61,55.52,40.92,0.14,10,rotation (out of top-N),2025-03-17,411.53,0.5,-0.01,2.0,5.5,-0.06,0.76,847,2025-03-31,375.83,0.1,-1.77,2.4,6.3,-8.87,0.85,861
SELL,266,XLP,2025-06-10,78.85,388.08,2025-03-25,76.6,14.86,15.3,873.18,857.88,2.89,53,rotation (out of top-N),2025-03-24,77.71,1.8,0.24,4.2,6.7,1.19,0.66,42,2025-06-09,78.24,0.4,0.16,2.0,5.6,0.78,0.55,119
SELL,267,EEM,2026-07-14,65.53,3415.37,2025-04-29,42.34,72.3,111.9,79202.41,79090.51,54.69,302,rotation (out of top-N),2025-04-28,43.71,2.5,0.85,4.8,7.3,4.23,0.47,0,2026-07-13,63.29,1.1,1.23,1.7,4.6,6.17,1.12,441
SELL,268,XLI,2025-08-12,149.05,0.51,2025-05-20,141.43,0.04,0.04,3.9,3.86,5.34,57,rotation (out of top-N),2025-05-19,138.62,2.6,1.01,4.7,7.1,5.06,0.59,0,2025-08-11,148.53,1.4,1.76,2.2,5.3,8.81,0.58,84
SELL,269,VUG,2026-01-06,81.35,0.0,2025-06-03,69.06,0.0,0.0,0.0,0.0,17.74,149,rotation (out of top-N),2025-06-02,69.95,3.0,1.31,4.7,6.7,6.57,0.94,0,2026-01-05,81.66,1.1,1.82,1.5,4.5,9.08,0.95,217
SELL,270,QQQ,2026-01-13,625.79,0.0,2025-06-03,520.47,0.0,0.0,0.0,0.0,20.18,154,rotation (out of top-N),2025-06-02,526.79,3.0,1.3,4.7,6.7,6.49,1.0,0,2026-01-12,619.8,0.8,1.81,1.5,4.7,9.07,0.52,224
