kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,184,XLB,2026-02-10,51.73,6079.09,,,157.24,,,,,,,2026-02-09,52.88,48.55,44.7,51.75,50.31,47.45,51.75,51.28,18.31,0.9,217,3.66,1.5,1.1,3.6
SELL,181,EEM,2026-02-10,60.41,5208.53,2025-12-30,54.59,142.17,157.32,30313.62,30156.3,10.61,28,rotation (out of top-N),2026-02-09,60.8,57.56,51.48,60.2,59.18,56.59,60.2,59.88,18.1,0.53,287,3.62,1.3,1.1,3.8
BUY,185,EEM,2026-02-24,61.92,5154.6,,,159.59,,,,,,,2026-02-23,62.26,59.08,52.34,61.33,60.78,58.32,61.38,60.87,18.95,0.84,301,3.79,1.5,1.1,3.5
SELL,184,XLB,2026-02-24,52.53,6079.09,2026-02-10,51.73,157.24,159.67,4863.27,4703.61,1.5,9,rotation (out of top-N),2026-02-23,52.97,49.95,45.22,52.53,52.18,49.21,52.54,51.98,17.13,1.07,231,3.43,1.6,1.1,3.6
BUY,186,SCHD,2026-03-03,31.12,9547.81,,,148.56,,,,,,,2026-03-02,30.63,29.85,27.17,31.34,31.06,29.59,31.34,31.08,12.72,0.82,196,2.54,1.2,1.4,4.2
SELL,185,EEM,2026-03-03,57.67,5154.6,2026-02-24,61.92,159.59,148.63,-21907.04,-22055.67,-6.91,5,rotation (out of top-N),2026-03-02,57.02,58.7,52.66,61.18,61.61,59.3,61.09,60.35,8.28,1.2,308,1.66,1.2,1.6,4.4
BUY,187,XLB,2026-04-07,49.93,5818.01,,,145.25,,,,,,,2026-04-06,51.77,49.71,46.16,50.03,49.45,50.53,50.03,49.46,12.15,1.14,273,2.43,1.4,1.4,4.0
SELL,186,SCHD,2026-04-07,30.44,9547.81,2026-03-03,31.12,148.56,145.32,-6492.51,-6637.83,-2.23,24,rotation (out of top-N),2026-04-06,30.32,30.09,27.74,30.4,30.31,30.64,30.39,30.23,9.3,0.52,231,1.86,0.8,1.5,4.7
BUY,188,EEM,2026-04-14,61.28,4941.03,,,151.39,,,,,,,2026-04-13,63.31,58.68,54.35,60.75,58.62,58.57,60.77,60.27,16.49,0.82,350,3.3,1.4,1.2,3.8
SELL,187,XLB,2026-04-14,52.07,5818.01,2026-04-07,49.93,145.25,151.47,12450.55,12299.08,4.23,5,rotation (out of top-N),2026-04-13,51.69,50.07,46.33,52.0,50.75,50.43,52.01,51.59,11.57,0.81,280,2.31,1.1,1.4,4.3
BUY,189,XLK,2026-05-05,163.67,2047.44,,,167.55,,,,,,,2026-05-04,175.31,152.62,142.04,161.86,158.14,144.37,161.83,159.92,23.42,1.18,21,4.68,3.6,3.5,4.5
SELL,183,XLE,2026-05-05,58.81,5701.2,2026-01-27,48.72,138.88,167.64,57525.11,57357.46,20.65,68,rotation (out of top-N),2026-05-04,55.3,56.14,48.37,58.96,57.75,57.73,58.98,58.25,14.33,1.24,252,2.87,1.5,1.3,3.7
