symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
GD,2,100.0,350.82,175.41,2.1,3.22,0.98,7.5
GDDY,2,100.0,2116.8,1058.4,6.62,10.11,3.13,7.0
GEN,1,100.0,2694.88,2694.88,16.08,16.08,16.08,14.0
GL,1,100.0,242.31,242.31,2.89,2.89,2.89,5.0
GLW,2,100.0,106730.2,53365.1,12.95,16.47,9.42,9.0
GNRC,3,100.0,35788.58,11929.53,8.91,25.07,0.38,5.0
HAL,2,100.0,4787.24,2393.62,3.06,4.63,1.5,5.0
HNGE,1,100.0,300138.45,300138.45,13.62,13.62,13.62,3.0
HOOD,10,70.0,115590.01,11559.0,19.35,135.6,-4.2,30.9
HPE,2,0.0,-395186.92,-197593.46,-11.37,-1.75,-20.99,3.0
HUM,1,0.0,-83.21,-83.21,-0.99,-0.99,-0.99,5.0
ICHR,1,100.0,55847.58,55847.58,4.03,4.03,4.03,5.0
IDXX,1,0.0,-5969.15,-5969.15,-3.9,-3.9,-3.9,5.0
IESC,1,0.0,-247296.46,-247296.46,-1.73,-1.73,-1.73,1.0
