kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,67,DASH,2024-08-13,124.34,815.1,2024-08-06,123.06,50.15,50.68,1047.4,996.73,0.99,5,rotation (out of top-N),2024-08-05,123.8,5.5,1.81,4.5,4.1,9.05,5.53,0,2024-08-12,129.0,3.6,2.52,4.3,5.6,12.6,1.59,7
SELL,68,FTNT,2024-08-27,74.83,1442.02,2024-08-13,70.28,50.68,53.95,6554.0,6500.04,6.41,10,rotation (out of top-N),2024-08-12,74.73,4.2,4.0,4.0,4.8,19.99,1.87,0,2024-08-26,76.68,3.6,4.17,3.7,4.8,20.85,1.25,14
SELL,69,CIEN,2024-09-10,51.47,1969.17,2024-08-27,56.1,55.24,50.68,-9117.23,-9167.91,-8.3,9,rotation (out of top-N),2024-08-26,57.65,3.8,3.2,4.0,4.9,16.02,1.87,14,2024-09-09,56.18,3.5,2.43,3.9,5.0,12.15,1.97,28
SELL,70,LITE,2024-09-10,50.7,1999.82,2024-08-27,55.24,55.24,50.7,-9079.19,-9129.89,-8.26,9,rotation (out of top-N),2024-08-26,57.61,3.8,3.39,2.1,3.3,16.96,2.93,63,2024-09-09,55.78,3.2,2.43,2.1,3.6,12.13,2.88,77
SELL,71,APP,2024-09-24,126.69,1251.67,2024-09-10,88.03,55.1,79.29,48389.49,48310.2,43.84,10,rotation (out of top-N),2024-09-09,112.59,5.4,5,-1,0.6,61.5,3.56,490,2024-09-23,127.71,4.5,5,-1,1.5,72.51,2.19,504
SELL,72,PLTR,2024-09-17,37.0,3157.32,2024-09-10,34.9,55.1,58.41,6630.38,6571.97,5.96,5,rotation (out of top-N),2024-09-09,35.59,5.2,5,-0.5,0.3,49.99,4.05,518,2024-09-16,37.21,4.3,5,-0.7,1.4,53.73,2.47,525
SELL,73,UAL,2024-09-17,51.97,2253.85,2024-09-10,48.89,55.1,58.56,6930.58,6872.02,6.24,5,rotation (out of top-N),2024-09-09,50.23,4.6,1.9,4.5,4.9,9.51,3.25,0,2024-09-16,52.17,3.8,2.64,4.2,5.3,13.21,1.91,7
SELL,74,VST,2024-10-22,127.33,1306.26,2024-09-17,89.52,58.47,83.16,49389.85,49306.69,42.17,25,rotation (out of top-N),2024-09-16,106.77,4.6,5,-0.6,1.0,52.96,2.97,553,2024-10-21,122.99,4.3,5,-0.6,1.3,52.2,2.48,588
SELL,75,CVNA,2024-10-08,36.43,3789.27,2024-09-17,30.86,58.47,69.02,21106.22,21037.2,17.99,15,rotation (out of top-N),2024-09-16,34.77,5.1,5,-1,0.9,75.11,3.16,469,2024-10-07,38.45,4.7,5,-1,1.3,76.43,2.61,490
SELL,76,CEG,2024-10-01,256.38,630.32,2024-09-24,251.52,79.27,80.8,3063.36,2982.56,1.88,5,rotation (out of top-N),2024-09-23,254.36,5.1,5,-0.1,0.0,42.19,7.04,469,2024-09-30,282.65,4.4,5,-0.7,1.3,54.39,2.6,476
SELL,77,CCL,2024-10-08,17.98,8730.79,2024-10-01,18.5,80.76,78.49,-4540.01,-4618.5,-2.86,5,rotation (out of top-N),2024-09-30,17.82,4.9,2.22,4.1,3.8,11.08,4.12,21,2024-10-07,20.21,4.8,5,3.3,3.0,25.38,3.01,28
SELL,78,NCLH,2024-10-15,23.92,7300.85,2024-10-08,20.19,73.7,87.32,27232.17,27144.86,18.42,5,rotation (out of top-N),2024-10-07,23.39,5.1,5,3.2,2.7,29.29,3.04,21,2024-10-14,23.82,4.5,5,3.0,3.1,30.4,2.13,28
SELL,79,UAL,2024-11-12,88.85,2469.91,2024-10-08,59.68,73.7,109.73,72047.25,71937.52,48.8,25,rotation (out of top-N),2024-10-07,61.83,5.3,5,3.0,2.2,30.39,3.43,28,2024-11-11,91.17,5.1,5,-0.0,2.8,73.67,1.7,63
