MTF BACKTEST: Top 50 YTD Performers

=== SUMMARY ===
Metric,Value
Return,+3074.29%
Max DD,33.2%
Trades,"141 sells (0 stop-loss, 0 hourly-ema, 0 ratchet-atr, 0 daily-ema) / 151 buys"
Win,85 (60%)  avg ++45.15%
Loss,56 (40%)  avg -7.66%
Hold,8 days
Exposure,779/1231 days invested (63%) | 452 days 100% cash | avg 3.9 positions | 1082 days with <10 positions

=== TOP 50 YTD PERFORMERS ===
Rank,Ticker,Open Jan 2,Close Now,YTD %
2026-07-21,SELL,SNDK,118.18,1510.99,,
2026-07-21,BUY,ATEX,1811.27,104.36,-10.72%,"-20,259.03"
2026-07-21,BUY,ORKA,2034.80,92.90,-3.49%,"-6,592.75"
2026-07-21,BUY,BAND,2757.59,68.55,-34.78%,"-65,741.01"
2026-07-21,BUY,TWST,2152.26,87.83,+20.43%,"+38,611.54"
2026-07-21,BUY,CORT,2015.92,93.77,,
2026-07-28,SELL,PENG,4580.69,49.77,,
2026-07-28,SELL,ATEX,1811.27,93.18,,
2026-07-28,SELL,ORKA,2034.80,89.66,,
2026-07-28,BUY,DELL,480.17,402.00,+11.29%,"+21,799.86"
2026-07-28,BUY,SYRE,1986.11,97.19,+8.37%,"+16,156.97"
2026-07-28,BUY,AMD,413.92,466.34,+8.21%,"+15,845.04"
2026-08-04,SELL,AGL,5759.63,92.27,,
2026-08-04,SELL,FBRX,10735.62,76.71,,
2026-08-04,SELL,ICHR,2199.53,75.98,,
2026-08-04,SELL,BAND,2757.59,44.71,,
2026-08-04,SELL,DELL,480.17,447.40,,
2026-08-04,SELL,AMD,413.92,504.62,,
2026-08-04,BUY,PANW,978.67,352.06,+6.14%,"+21,163.78"
2026-08-04,BUY,DDOG,1266.06,272.14,,
2026-08-04,BUY,HPE,6567.88,52.46,-2.06%,"-7,093.32"
2026-08-04,BUY,PBF,5236.34,65.80,-0.46%,"-1,570.90"
2026-08-04,BUY,ORKA,3613.92,95.34,+4.23%,"+14,564.10"
2026-08-04,BUY,SNOW,1122.28,307.01,+3.60%,"+12,389.97"
2026-08-05,SELL,TWST,2152.26,105.77,,
2026-08-05,SELL,SYRE,1986.11,105.33,,
2026-08-05,SELL,PANW,978.67,373.69,,
2026-08-05,SELL,PBF,5236.34,65.50,,
2026-08-05,SELL,ORKA,3613.92,99.37,,
2026-08-05,SELL,SNOW,1122.28,318.05,,
2026-08-05,BUY,CRNX,3697.48,83.88,+0.45%,"+1,386.55"
2026-08-05,BUY,ELVN,5087.37,60.96,-3.95%,"-12,260.56"
2026-08-05,BUY,DD,2157.70,143.73,-0.61%,"-1,898.77"
2026-08-05,BUY,DNTH,2816.00,110.13,-0.05%,-168.96
2026-08-05,BUY,FBRX,4049.17,76.59,+0.31%,+971.80
2026-08-05,BUY,HNGE,4077.39,76.06,,
2026-08-06,SELL,HPE,6567.88,51.38,,
2026-08-06,BUY,ATEX,3354.68,100.77,-7.99%,"-27,005.16"
2026-08-07,SELL,DNTH,2816.00,110.07,,
2026-08-07,BUY,AEHR,3027.03,102.35,,
2026-08-11,SELL,MBX,3809.90,67.53,,
2026-08-11,SELL,CRNX,3697.48,84.25,,
2026-08-11,SELL,ELVN,5087.37,58.55,,
2026-08-11,SELL,DD,2157.70,142.85,,
2026-08-11,SELL,FBRX,4049.17,76.83,,
2026-08-11,SELL,ATEX,3354.68,92.72,,
2026-08-11,BUY,PANW,778.84,384.20,,
2026-08-11,BUY,TWST,2427.72,123.25,,
2026-08-11,BUY,HPE,5494.46,54.46,,
2026-08-11,BUY,DELL,666.24,449.13,,
2026-08-11,BUY,PBF,4450.15,67.24,,
2026-08-11,BUY,SNOW,900.54,332.27,,
