MTF BACKTEST: Portfolio by Ticker

TICKER SUMMARY (sorted by total P&L)
Ticker,Trades,Total P&L $,Avg Return %,First Buy,Last Sell,Days Held (approx)
2025-10-14,BUY,0.00,30.91,+47.75%,+0.00
2026-03-17,SELL,0.00,45.67,,
2026-04-21,BUY,0.00,46.94,-1.13%,-0.00
2026-05-05,SELL,0.00,46.41,,
2026-08-05,BUY,2157.70,143.73,-0.61%,"-1,898.77"
2026-08-11,SELL,2157.70,142.85,,

"=== PBF (P&L: $-1,570.90) ==="
date,side,qty,price,return%,pnl$
2026-08-04,BUY,5236.34,65.80,-0.46%,"-1,570.90"
2026-08-05,SELL,5236.34,65.50,,
2026-08-11,BUY,4450.15,67.24,,

"=== ICHR (P&L: $-9,082.50) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,2598.02,58.66,+24.38%,"+37,151.65"
2026-05-12,SELL,2598.02,72.96,,
2026-07-14,BUY,2199.53,97.00,-21.67%,"-46,234.15"
2026-08-04,SELL,2199.53,75.98,,

"=== ELVN (P&L: $-12,260.56) ==="
date,side,qty,price,return%,pnl$
2026-08-05,BUY,5087.37,60.96,-3.95%,"-12,260.56"
2026-08-11,SELL,5087.37,58.55,,

"=== COOK (P&L: $-18,568.06) ==="
date,side,qty,price,return%,pnl$
2026-06-02,BUY,2708.76,71.05,-5.36%,"-10,320.38"
2026-06-09,SELL,2708.76,67.24,,
2026-06-16,BUY,2660.54,71.69,-4.32%,"-8,247.68"
2026-07-14,SELL,2660.54,68.59,,

"=== ATEX (P&L: $-20,264.10) ==="
date,side,qty,price,return%,pnl$
2026-05-19,BUY,2343.76,54.58,+21.11%,"+27,000.09"
2026-06-02,SELL,2343.76,66.10,,
2026-07-21,BUY,1811.27,104.36,-10.72%,"-20,259.03"
2026-07-28,SELL,1811.27,93.18,,
2026-08-06,BUY,3354.68,100.77,-7.99%,"-27,005.16"
2026-08-11,SELL,3354.68,92.72,,

"=== MXL (P&L: $-26,444.83) ==="
date,side,qty,price,return%,pnl$
2026-07-14,BUY,2244.89,95.04,-12.39%,"-26,444.83"
2026-07-21,SELL,2244.89,83.26,,

"=== SNDK (P&L: $-34,778.66) ==="
date,side,qty,price,return%,pnl$
2026-04-07,BUY,0.00,722.59,+106.48%,+0.02
2026-05-12,SELL,0.00,1492.00,,
2026-07-14,BUY,118.18,1805.27,-16.30%,"-34,778.68"
2026-07-21,SELL,118.18,1510.99,,

"=== HPE (P&L: $-79,333.87) ==="
date,side,qty,price,return%,pnl$
2023-07-11,BUY,904.85,15.78,-1.14%,-162.87
2023-08-29,SELL,904.85,15.60,,
2023-09-12,BUY,991.06,15.83,+0.82%,+128.84
2023-09-19,SELL,991.06,15.96,,
2023-10-03,BUY,1678.82,16.21,-1.85%,-503.65
2023-10-10,SELL,1678.82,15.91,,
2023-12-05,BUY,0.00,15.34,-4.04%,-0.00
2024-01-23,SELL,0.00,14.72,,
2024-03-19,BUY,2135.56,16.04,-0.50%,-170.84
2024-04-23,SELL,2135.56,15.96,,
2024-05-21,BUY,0.73,16.84,+10.69%,+1.31
2024-07-30,SELL,0.73,18.64,,
2024-09-24,BUY,0.00,18.20,+12.86%,+0.00
2025-02-11,SELL,0.00,20.54,,
2025-07-22,BUY,1.90,20.29,+11.73%,+4.53
2025-10-21,SELL,1.90,22.67,,
2025-12-16,BUY,0.00,23.69,-9.41%,-0.00
2026-01-27,SELL,0.00,21.46,,
2026-03-31,BUY,5.30,23.00,+26.83%,+32.69
2026-05-05,SELL,5.30,29.17,,
2026-06-02,BUY,3059.25,62.91,-20.95%,"-40,320.92"
2026-06-09,SELL,3059.25,49.73,,
2026-06-16,BUY,3881.84,49.13,-10.59%,"-20,204.99"
2026-06-30,SELL,3881.84,43.93,,
2026-07-14,BUY,4382.80,48.68,-5.18%,"-11,044.65"
2026-07-21,SELL,4382.80,46.16,,
2026-08-04,BUY,6567.88,52.46,-2.06%,"-7,093.32"
2026-08-06,SELL,6567.88,51.38,,
2026-08-11,BUY,5494.46,54.46,,

