kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
SELL,7,DKS,2021-09-28,117.22,33.38,2021-09-21,119.76,2.0,1.96,-84.79,-86.75,-2.17,5,rotation (out of top-N),2021-09-27,109.14,108.24,80.06,117.27,118.66,107.87,,,36.33,,999,5,,0.2,
SELL,9,EMBJ,2021-09-28,17.82,25.59,2021-09-21,15.58,0.2,0.23,57.33,57.1,14.32,5,equal-weight sizing trim,2021-09-27,17.92,16.23,12.14,17.26,16.61,15.84,,,47.62,,999,5,,-0.4,
SELL,16,FTNT,2021-09-28,59.43,66.71,2021-09-21,59.93,2.0,1.98,-33.36,-35.34,-0.88,5,rotation (out of top-N),2021-09-27,59.57,59.4,44.81,60.11,60.89,60.89,,,32.94,,999,5,,0.4,
SELL,20,HRI,2021-09-28,149.17,6.21,2021-09-21,118.26,0.37,0.46,191.92,191.46,26.07,5,equal-weight sizing trim,2021-09-27,156.86,126.72,96.55,149.29,132.32,119.06,,,62.46,,999,5,,-1,
SELL,12,IDT,2021-09-28,42.78,3.54,2021-09-21,40.07,0.07,0.08,9.61,9.53,6.71,5,equal-weight sizing trim,2021-09-27,43.12,44.38,30.94,43.62,43.3,46.21,,,39.36,,999,5,,0.0,
SELL,25,IT,2021-09-28,310.7,12.72,2021-09-21,314.31,2.0,1.98,-45.86,-47.83,-1.2,5,rotation (out of top-N),2021-09-27,305.62,300.23,228.78,314.95,316.04,305.93,,,33.59,,999,5,,0.3,
SELL,19,LEU,2021-09-28,39.48,16.95,2021-09-21,32.98,0.28,0.33,110.18,109.84,19.65,5,equal-weight sizing trim,2021-09-27,41.29,32.02,25.3,39.21,35.79,28.88,,,63.2,,999,5,,-1,
SELL,22,MDB,2021-09-28,471.04,8.09,2021-09-21,494.1,2.0,1.91,-186.59,-188.5,-4.71,5,rotation (out of top-N),2021-09-27,474.74,447.27,361.42,482.29,494.32,424.44,,,31.35,,105,5,,0.7,
SELL,24,NET,2021-09-28,118.56,30.99,2021-09-21,128.99,2.0,1.84,-323.27,-325.11,-8.13,5,rotation (out of top-N),2021-09-27,114.94,121.12,93.6,122.78,129.58,124.85,,,22.8,,999,4.56,,0.9,
SELL,6,PVLA,2021-09-28,458.0,0.08,2021-09-21,440.8,0.02,0.02,1.4,1.38,3.85,5,equal-weight sizing trim,2021-09-27,418.0,390.78,264.11,462.0,444.91,377.17,,,58.27,,112,5,,-0.8,
SELL,13,RGEN,2021-09-28,300.15,12.94,2021-09-21,309.01,2.0,1.94,-114.57,-116.51,-2.91,5,rotation (out of top-N),2021-09-27,280.89,277.19,220.31,307.23,309.14,279.04,,,27.5,,70,5,,1.5,
SELL,18,SPSC,2021-09-28,160.86,0.43,2021-09-21,153.66,0.03,0.03,3.07,3.03,4.63,5,equal-weight sizing trim,2021-09-27,163.47,139.48,110.66,163.02,156.26,132.6,,,47.73,,56,5,,1.7,
BUY,27,AEHR,2021-10-05,13.0,39.18,,,0.25,,,,,,,2021-10-04,19.45,11.37,4.6,13.1,13.03,9.15,,,322.86,,999,5,,-1,
BUY,43,AMBA,2021-10-05,151.22,28.02,,,2.12,,,,,,,2021-10-04,154.19,136.65,110.16,148.76,153.73,127.91,,,39.97,,35,5,,2.4,
BUY,32,ATLC,2021-10-05,55.01,0.0,,,0.0,,,,,,,2021-10-04,54.3,51.62,38.29,53.55,52.79,52.5,,,41.82,,999,5,,-0.1,
BUY,21,CAR,2021-10-05,115.23,1.09,,,0.06,,,,,,,2021-10-04,131.48,99.86,73.47,115.0,108.08,91.63,,,78.96,,999,5,,-1,
BUY,37,DDS,2021-10-05,145.06,29.21,,,2.12,,,,,,,2021-10-04,154.92,148.86,106.51,143.87,149.24,152.98,,,45.44,,999,5,,-0.3,
BUY,28,DVN,2021-10-05,31.63,0.0,,,0.0,,,,,,,2021-10-04,32.08,25.74,20.16,31.17,27.93,23.75,,,59.13,,999,5,,-1.0,
BUY,9,EMBJ,2021-10-05,17.32,13.77,,,0.12,,,,,,,2021-10-04,17.84,16.53,12.42,17.45,17.06,16.21,,,43.68,,999,5,,-0.2,
BUY,38,FANG,2021-10-05,85.55,49.54,,,2.12,,,,,,,2021-10-04,89.48,71.89,63.49,84.17,76.07,64.93,,,40.93,,999,5,,-0.0,
BUY,40,HCI,2021-10-05,106.34,39.85,,,2.12,,,,,,,2021-10-04,120.54,102.29,77.37,105.2,102.11,100.16,,,55.79,,999,5,,-0.8,
BUY,12,IDT,2021-10-05,42.63,3.22,,,0.07,,,,,,,2021-10-04,49.92,45.39,31.88,42.92,42.56,45.13,,,56.57,,999,5,,-0.8,
BUY,44,INOD,2021-10-05,9.86,429.79,,,2.12,,,,,,,2021-10-04,9.94,8.64,7.11,9.56,9.02,8.02,,,39.82,,999,5,,0.0,
BUY,19,LEU,2021-10-05,38.82,4.94,,,0.1,,,,,,,2021-10-04,38.5,33.2,25.68,40.1,37.96,30.83,,,49.91,,999,5,,-0.5,
BUY,34,MCB,2021-10-05,85.3,1.65,,,0.07,,,,,,,2021-10-04,86.11,78.69,61.15,84.74,82.75,77.92,,,40.82,,999,5,,-0.0,
BUY,26,MTDR,2021-10-05,37.94,0.0,,,0.0,,,,,,,2021-10-04,39.08,31.29,25.37,37.48,33.84,28.01,,,54.06,,999,5,,-0.7,
BUY,41,NET,2021-10-05,117.29,36.13,,,2.12,,,,,,,2021-10-04,139.66,124.49,95.19,115.72,119.77,124.12,,,46.72,,999,5,,-0.3,
BUY,39,OVV,2021-10-05,31.63,133.98,,,2.12,,,,,,,2021-10-04,34.11,27.25,22.85,31.11,28.72,24.7,,,49.29,,999,5,,-0.5,
BUY,42,RRR,2021-10-05,43.13,98.25,,,2.12,,,,,,,2021-10-04,42.73,37.98,30.38,42.99,40.79,36.57,,,40.67,,999,5,,-0.0,
BUY,18,SPSC,2021-10-05,157.88,1.26,,,0.1,,,,,,,2021-10-04,159.4,143.1,111.93,156.73,159.23,138.73,,,42.41,,63,5,,0.8,
BUY,36,XENE,2021-10-05,32.17,131.73,,,2.12,,,,,,,2021-10-04,32.85,19.79,17.97,31.57,18.61,17.33,,,82.84,,0,5,,2.0,
