symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
CVNA,30,96.7,1350562.68,45018.76,49.29,201.36,-15.97,29.5
CVS,1,0.0,-44749.35,-44749.35,-2.33,-2.33,-2.33,5.0
CVSA,6,100.0,439988.37,73331.4,10.87,17.95,2.7,12.0
CVX,4,100.0,1667.27,416.82,7.68,10.48,2.38,6.2
CYTK,9,66.7,-24478.25,-2719.81,5.17,27.71,-21.33,8.9
DAC,3,66.7,1347.12,449.04,13.58,31.65,-12.15,8.3
DAR,1,100.0,1288412.74,1288412.74,4.61,4.61,4.61,4.0
DAVE,34,91.2,13341127.13,392386.09,70.4,221.79,-10.75,22.7
DBD,12,75.0,76681.17,6390.1,19.65,54.56,-8.54,34.5
DD,5,60.0,423719.86,84743.97,0.71,3.47,-3.97,7.2
DDOG,8,62.5,3916835.51,489604.44,5.67,23.38,-5.21,8.8
DDS,8,75.0,1983.36,247.92,38.97,98.07,-1.81,21.1
DELL,24,70.8,65607537.51,2733647.4,12.29,97.87,-3.86,14.8
DGII,8,75.0,1268.56,158.57,10.49,30.06,-4.46,18.4
DINO,8,87.5,3156006.71,394500.84,14.73,29.57,-2.54,14.6
DK,13,100.0,9506750.63,731288.51,16.54,43.16,1.03,13.4
DKL,1,0.0,-449.17,-449.17,-2.94,-2.94,-2.94,9.0
DKS,3,66.7,46246.97,15415.66,11.95,20.29,-2.12,8.0
DLTR,1,0.0,-228.28,-228.28,-2.5,-2.5,-2.5,5.0
DNTH,14,92.9,16834032.98,1202430.93,33.65,81.76,-1.63,18.2
DOCN,7,100.0,37007121.32,5286731.62,46.26,63.97,25.19,16.6
DRUG,18,77.8,15315583.73,850865.76,199.17,1739.18,-8.11,13.5
DUOL,11,90.9,639343.56,58122.14,15.58,38.34,-2.67,12.3
DVN,14,92.9,4237.37,302.67,10.81,28.78,-2.5,18.2
DXPE,3,100.0,161801.31,53933.77,13.44,21.1,4.91,16.3
EA,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0
EAT,18,77.8,-8301623.71,-461201.32,7.54,45.56,-10.49,12.7
ECHO,11,90.9,11445942.61,1040540.24,31.82,68.74,-3.86,17.0
ECPG,3,33.3,-81.12,-27.04,-0.27,8.2,-6.47,7.7
ELF,27,92.6,38908.0,1441.04,15.9,45.12,-10.06,21.3
ELVN,21,90.5,23462664.25,1117269.73,23.49,112.52,-6.08,19.8
EMBJ,11,100.0,81408.86,7400.81,8.46,19.21,0.77,9.5
ENLT,6,100.0,9277466.49,1546244.42,14.73,28.77,3.06,16.8
ENVA,1,100.0,3189.67,3189.67,12.8,12.8,12.8,5.0
EOG,5,80.0,936.7,187.34,6.35,16.56,-3.55,13.2
EQT,14,92.9,6001.12,428.65,22.91,54.86,-5.93,25.2
ERIE,1,100.0,946.59,946.59,6.54,6.54,6.54,5.0
ESLT,13,76.9,2224962.14,171150.93,4.95,18.54,-8.22,9.8
ESTC,5,60.0,-3376169.88,-675233.98,25.25,52.98,-4.02,12.0
EXE,4,100.0,1603.62,400.9,5.98,12.63,0.87,7.0
F,3,66.7,-613.69,-204.56,-1.74,5.36,-11.32,8.0
FANG,4,100.0,1672.93,418.23,10.04,22.09,4.54,15.5
FBRX,19,94.7,172990699.08,9104773.64,58.05,271.96,-2.12,10.7
